Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,16,Tue,2018-12-04,19:00,Nice,1.8,0–0,0.5,Angers,14123,Stade de Nice,Hakim Ben El Hadj Salem,Match Report,
Regular Season,16,Tue,2018-12-04,21:00,Montpellier,0.9,0–1,1.2,Lille,12486,Stade de la Mosson,Mikael Lesage,Match Report,
Regular Season,16,Wed,2018-12-05,19:00,Dijon,0.4,2–1,1.0,Guingamp,11711,Stade Gaston Gérard,Thomas Léonard,Match Report,
Regular Season,16,Wed,2018-12-05,19:00,Reims,1.5,0–1,1.0,Toulouse,10609,Stade Auguste-Delaune II,Jeremy Stinat,Match Report,
Regular Season,16,Wed,2018-12-05,19:00,Bordeaux,2.2,3–2,1.9,Saint-Étienne,23375,Stade Matmut-Atlantique,Clément Turpin,Match Report,
Regular Season,16,Wed,2018-12-05,19:00,Lyon,1.4,0–2,1.4,Rennes,47278,Groupama Stadium,Johan Hamel,Match Report,
Regular Season,16,Wed,2018-12-05,19:00,Caen,0.8,1–2,1.8,Nîmes,14501,Stade Michel d'Ornano,Florent Batta,Match Report,
Regular Season,16,Wed,2018-12-05,19:00,Nantes,1.2,3–2,1.5,Marseille,32663,Stade de la Beaujoire - Louis Fonteneau,François Letexier,Match Report,
Regular Season,16,Wed,2018-12-05,21:00,Strasbourg,0.9,1–1,1.8,Paris S-G,25702,Stade de la Meinau,Antony Gautier,Match Report,

Regular Season,17,Sat,2018-12-08,20:00,Rennes,2.3,2–0,0.5,Dijon,16975,Roazhon Park,Nicolas Rainville,Match Report,
Regular Season,17,Sat,2018-12-08,20:00,Guingamp,1.2,1–2,1.6,Amiens,14089,Stade du Roudourou,Benoît Bastien,Match Report,
Regular Season,17,Sun,2018-12-09,15:00,Strasbourg,1.3,2–2,0.3,Caen,25048,Stade de la Meinau,Olivier Thual,Match Report,
Regular Season,17,Sun,2018-12-09,17:00,Lille,1.6,1–1,1.1,Reims,26826,Stade Pierre-Mauroy,Willy Delajod,Match Report,

Regular Season,18,Sat,2018-12-15,20:00,Reims,0.6,2–1,0.7,Strasbourg,12171,Stade Auguste-Delaune II,Florent Batta,Match Report,
Regular Season,18,Sun,2018-12-16,15:00,Nîmes,1.1,2–3,0.8,Lille,13428,Stade des Costières,Hakim Ben El Hadj Salem,Match Report,
Regular Season,18,Sun,2018-12-16,17:00,Nice,3.9,1–1,1.1,Saint-Étienne,19250,Stade de Nice,Thomas Léonard,Match Report,
Regular Season,18,Sun,2018-12-16,21:00,Lyon,1.4,3–0,0.1,Monaco,46477,Groupama Stadium,Clément Turpin,Match Report,
Regular Season,18,Tue,2018-12-18,19:30,Caen,1.5,2–1,1.0,Toulouse,11631,Stade Michel d'Ornano,Antony Gautier,Match Report,

Regular Season,19,Sat,2018-12-22,21:00,Rennes,1.9,4–0,1.5,Nîmes,22430,Roazhon Park,Jeremy Stinat,Match Report,
Regular Season,19,Sat,2018-12-22,21:00,Montpellier,0.8,1–1,0.6,Lyon,17275,Stade de la Mosson,François Letexier,Match Report,
Regular Season,19,Sat,2018-12-22,21:00,Lille,1.1,1–2,1.6,Toulouse,30186,Stade Pierre-Mauroy,Benoît Millot,Match Report,
Regular Season,19,Sat,2018-12-22,21:00,Paris S-G,2.1,1–0,0.4,Nantes,47511,Parc des Princes,Karim Abed,Match Report,
Regular Season,19,Sat,2018-12-22,21:00,Reims,1.6,2–2,1.5,Caen,11017,Stade Auguste-Delaune II,Jérôme Miguelgorry,Match Report,
Regular Season,19,Sat,2018-12-22,21:00,Strasbourg,2.0,2–0,1.2,Nice,25113,Stade de la Meinau,Willy Delajod,Match Report,
Regular Season,19,Sat,2018-12-22,21:00,Monaco,0.6,0–2,1.1,Guingamp,6424,Stade Louis II.,Franck Schneider,Match Report,
Regular Season,19,Sat,2018-12-22,21:00,Saint-Étienne,2.2,3–0,1.0,Dijon,26215,Stade Geoffroy-Guichard,Eric Wattellier,Match Report,
Regular Season,19,Sat,2018-12-22,21:00,Angers,1.6,1–1,1.2,Marseille,15113,Stade Raymond Kopa,Jérôme Brisard,Match Report,
Regular Season,19,Sun,2018-12-23,17:00,Bordeaux,0.5,1–1,0.4,Amiens,23343,Stade Matmut-Atlantique,Mikael Lesage,Match Report,

Regular Season,18,Tue,2019-01-08,19:00,Nantes,1.6,2–0,0.8,Montpellier,15780,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,Match Report,
