Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,14,Sat,2016-11-26,20:00,Caen,1–1,Guingamp,14902,Stade Michel d'Ornano,Amaury Delerue,Match Report,
Regular Season,14,Sat,2016-11-26,20:00,Bordeaux,3–2,Dijon,16354,Stade Matmut-Atlantique,Bartolomeu Varela,Match Report,
Regular Season,14,Sat,2016-11-26,20:00,Metz,3–3,Lorient,12657,Stade Saint-Symphorien,Mikael Lesage,Match Report,
Regular Season,14,Sat,2016-11-26,20:00,Nantes,0–0,Lille,18125,Stade de la Beaujoire - Louis Fonteneau,Olivier Thual,Match Report,
Regular Season,14,Sun,2016-11-27,15:00,Angers,1–2,Saint-Étienne,13293,Stade Raymond Kopa,Johan Hamel,Match Report,
Regular Season,14,Sun,2016-11-27,17:00,Nice,1–1,Bastia,20856,Stade de Nice,Lionel Jaffredo,Match Report,
Regular Season,14,Sun,2016-11-27,20:45,Lyon,1–2,Paris S-G,55107,Groupama Stadium,Ruddy Buquet,Match Report,

Regular Season,15,Tue,2016-11-29,19:00,Lille,4–2,Caen,23216,Stade Pierre-Mauroy,Saïd Ennjimi,Match Report,
Regular Season,15,Tue,2016-11-29,19:00,Lorient,2–1,Rennes,10082,Stade Yves Allainmat - Le Moustoir,Stéphane Lannoy,Match Report,
Regular Season,15,Tue,2016-11-29,21:00,Dijon,1–1,Monaco,10263,Stade Gaston Gérard,Tony Chapron,Match Report,
Regular Season,15,Wed,2016-11-30,19:00,Nancy,4–0,Metz,19085,Stade Marcel Picot,Jérôme Miguelgorry,Match Report,
Regular Season,15,Wed,2016-11-30,19:00,Guingamp,0–1,Nice,14680,Stade du Roudourou,Benoît Millot,Match Report,
Regular Season,15,Wed,2016-11-30,19:00,Toulouse,1–0,Montpellier,13753,Stadium Municipal,Amaury Delerue,Match Report,
Regular Season,15,Wed,2016-11-30,19:00,Bastia,1–1,Bordeaux,11421,Stade Armand Césari,Sébastien Desiage,Match Report,
Regular Season,15,Wed,2016-11-30,19:00,Nantes,0–6,Lyon,18964,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Match Report,
Regular Season,15,Wed,2016-11-30,19:00,Saint-Étienne,0–0,Marseille,25331,Stade Geoffroy-Guichard,Benoît Bastien,Match Report,
Regular Season,15,Wed,2016-11-30,21:00,Paris S-G,2–0,Angers,40597,Parc des Princes,Franck Schneider,Match Report,

Regular Season,16,Fri,2016-12-02,20:45,Caen,3–3,Dijon,13243,Stade Michel d'Ornano,Sébastien Moreira,Match Report,
Regular Season,16,Sat,2016-12-03,17:00,Montpellier,3–0,Paris S-G,17132,Stade de la Mosson,Bartolomeu Varela,Match Report,
Regular Season,16,Sat,2016-12-03,20:00,Angers,2–2,Lorient,9142,Stade Raymond Kopa,Olivier Thual,Match Report,
Regular Season,16,Sat,2016-12-03,20:00,Bordeaux,0–1,Lille,19250,Stade Matmut-Atlantique,Ruddy Buquet,Match Report,
Regular Season,16,Sat,2016-12-03,20:00,Monaco,5–0,Bastia,7019,Stade Louis II.,Benoît Millot,Match Report,
Regular Season,16,Sat,2016-12-03,20:00,Guingamp,2–0,Nantes,12643,Stade du Roudourou,Johan Hamel,Match Report,
Regular Season,16,Sun,2016-12-04,15:00,Rennes,2–0,Saint-Étienne,19618,Roazhon Park,Antony Gautier,Match Report,
Regular Season,16,Sun,2016-12-04,17:00,Marseille,3–0,Nancy,27854,Orange Vélodrome,François Letexier,Match Report,
Regular Season,16,Sun,2016-12-04,20:45,Nice,3–0,Toulouse,16835,Stade de Nice,Mikael Lesage,Match Report,

Regular Season,17,Sat,2016-12-10,14:30,Dijon,1–2,Marseille,10542,Stade Gaston Gérard,Jérôme Miguelgorry,Match Report,
Regular Season,17,Sat,2016-12-10,17:30,Bordeaux,0–4,Monaco,38803,Stade Matmut-Atlantique,Benoît Bastien,Match Report,
Regular Season,17,Sat,2016-12-10,20:00,Bastia,2–0,Metz,9882,Stade Armand Césari,Saïd Ennjimi,Match Report,
Regular Season,17,Sat,2016-12-10,20:00,Nancy,2–0,Angers,17205,Stade Marcel Picot,Sébastien Desiage,Match Report,
Regular Season,17,Sat,2016-12-10,20:00,Toulouse,3–2,Lorient,14288,Stadium Municipal,Karim Abed,Match Report,
Regular Season,17,Sat,2016-12-10,20:00,Lille,2–1,Montpellier,27391,Stade Pierre-Mauroy,Tony Chapron,Match Report,
Regular Season,17,Sun,2016-12-11,15:00,Lyon,1–0,Rennes,33901,Groupama Stadium,Amaury Delerue,Match Report,
Regular Season,17,Sun,2016-12-11,17:00,Saint-Étienne,1–0,Guingamp,23862,Stade Geoffroy-Guichard,Stéphane Lannoy,Match Report,
Regular Season,17,Sun,2016-12-11,20:45,Paris S-G,2–2,Nice,47665,Parc des Princes,Clément Turpin,Match Report,

Regular Season,18,Fri,2016-12-16,20:45,Angers,0–2,Nantes,12859,Stade Raymond Kopa,Amaury Delerue,Match Report,
Regular Season,18,Sat,2016-12-17,17:00,Guingamp,2–1,Paris S-G,18033,Stade du Roudourou,Frédy Fautrel,Match Report,
Regular Season,18,Sat,2016-12-17,20:00,Montpellier,4–0,Bordeaux,9841,Stade de la Mosson,Franck Schneider,Match Report,
